title,description,link,parameters
sklearn.neural_network.MLPRegressor,Multi-layer Perceptron regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPRegressor.html,"hidden_layer_sizes=(100﹐),activation='relu',*,solver='adam',alpha=0.0001,batch_size='auto',learning_rate='constant',learning_rate_init=0.001,power_t=0.5,max_iter=200,shuffle=True,random_state=None,tol=0.0001,verbose=False,warm_start=False,momentum=0.9,nesterovs_momentum=True,early_stopping=False,validation_fraction=0.1,beta_1=0.9,beta_2=0.999,epsilon=1e-08,n_iter_no_change=10,max_fun=15000"
sklearn.neural_network.MLPClassifier,Multi-layer Perceptron classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPClassifier.html,"hidden_layer_sizes=(100﹐),activation='relu',*,solver='adam',alpha=0.0001,batch_size='auto',learning_rate='constant',learning_rate_init=0.001,power_t=0.5,max_iter=200,shuffle=True,random_state=None,tol=0.0001,verbose=False,warm_start=False,momentum=0.9,nesterovs_momentum=True,early_stopping=False,validation_fraction=0.1,beta_1=0.9,beta_2=0.999,epsilon=1e-08,n_iter_no_change=10,max_fun=15000"
sklearn.neural_network.BernoulliRBM,Bernoulli Restricted Boltzmann Machine (RBM).,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.BernoulliRBM.html,"n_components=256,*,learning_rate=0.1,batch_size=10,n_iter=10,verbose=0,random_state=None"
sklearn.neighbors.sort_graph_by_row_values,Sort a sparse graph such that each row is stored with increasing values.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.sort_graph_by_row_values.html,"graph,copy=False,warn_when_not_sorted=True"
sklearn.neighbors.radius_neighbors_graph,Compute the (weighted) graph of Neighbors for points in X.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.radius_neighbors_graph.html,"X,radius,*,mode='connectivity',metric='minkowski',p=2,metric_params=None,include_self=False,n_jobs=None"
sklearn.neighbors.kneighbors_graph,Compute the (weighted) graph of k-Neighbors for points in X.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.kneighbors_graph.html,"X,n_neighbors,*,mode='connectivity',metric='minkowski',p=2,metric_params=None,include_self=False,n_jobs=None"
sklearn.neighbors.NeighborhoodComponentsAnalysis,Neighborhood Components Analysis.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.NeighborhoodComponentsAnalysis.html,"n_components=None,*,init='auto',warm_start=False,max_iter=50,tol=1e-05,callback=None,verbose=0,random_state=None"
sklearn.neighbors.NearestNeighbors,Unsupervised learner for implementing neighbor searches.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.NearestNeighbors.html,"*,n_neighbors=5,radius=1.0,algorithm='auto',leaf_size=30,metric='minkowski',p=2,metric_params=None,n_jobs=None"
sklearn.neighbors.NearestCentroid,Nearest centroid classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.NearestCentroid.html,"metric='euclidean',*,shrink_threshold=None"
sklearn.neighbors.RadiusNeighborsTransformer,Transform X into a (weighted) graph of neighbors nearer than a radius.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.RadiusNeighborsTransformer.html,"*,mode='distance',radius=1.0,algorithm='auto',leaf_size=30,metric='minkowski',p=2,metric_params=None,n_jobs=None"
sklearn.neighbors.RadiusNeighborsRegressor,Regression based on neighbors within a fixed radius.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.RadiusNeighborsRegressor.html,"radius=1.0,*,weights='uniform',algorithm='auto',leaf_size=30,p=2,metric='minkowski',metric_params=None,n_jobs=None"
sklearn.neighbors.RadiusNeighborsClassifier,Classifier implementing a vote among neighbors within a given radius.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.RadiusNeighborsClassifier.html,"radius=1.0,*,weights='uniform',algorithm='auto',leaf_size=30,p=2,metric='minkowski',outlier_label=None,metric_params=None,n_jobs=None"
sklearn.neighbors.LocalOutlierFactor,Unsupervised Outlier Detection using the Local Outlier Factor (LOF).,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.LocalOutlierFactor.html,"n_neighbors=20,*,algorithm='auto',leaf_size=30,metric='minkowski',p=2,metric_params=None,contamination='auto',novelty=False,n_jobs=None"
sklearn.neighbors.KNeighborsTransformer,Transform X into a (weighted) graph of k nearest neighbors.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KNeighborsTransformer.html,"*,mode='distance',n_neighbors=5,algorithm='auto',leaf_size=30,metric='minkowski',p=2,metric_params=None,n_jobs=None"
sklearn.neighbors.KNeighborsRegressor,Regression based on k-nearest neighbors.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KNeighborsRegressor.html,"n_neighbors=5,*,weights='uniform',algorithm='auto',leaf_size=30,p=2,metric='minkowski',metric_params=None,n_jobs=None"
sklearn.neighbors.KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KNeighborsClassifier.html,"n_neighbors=5,*,weights='uniform',algorithm='auto',leaf_size=30,p=2,metric='minkowski',metric_params=None,n_jobs=None"
sklearn.neighbors.KernelDensity,Kernel Density Estimation.,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KernelDensity.html,"*,bandwidth=1.0,algorithm='auto',kernel='gaussian',metric='euclidean',atol=0,rtol=0,breadth_first=True,leaf_size=40,metric_params=None"
sklearn.neighbors.KDTree,KDTree for fast generalized N-point problems,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.KDTree.html,"X,leaf_size=40,metric='minkowski',**kwargs"
sklearn.neighbors.BallTree,BallTree for fast generalized N-point problems,https://scikit-learn.org/stable/modules/generated/sklearn.neighbors.BallTree.html,"X,leaf_size=40,metric='minkowski',**kwargs"
sklearn.naive_bayes.MultinomialNB,Naive Bayes classifier for multinomial models.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.MultinomialNB.html,"*,alpha=1.0,force_alpha='warn',fit_prior=True,class_prior=None"
sklearn.naive_bayes.GaussianNB,Gaussian Naive Bayes (GaussianNB).,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.GaussianNB.html,"*,priors=None,var_smoothing=1e-09"
sklearn.naive_bayes.ComplementNB,The Complement Naive Bayes classifier described in Rennie et al. (2003).,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.ComplementNB.html,"*,alpha=1.0,force_alpha='warn',fit_prior=True,class_prior=None,norm=False"
sklearn.naive_bayes.CategoricalNB,Naive Bayes classifier for categorical features.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.CategoricalNB.html,"*,alpha=1.0,force_alpha='warn',fit_prior=True,class_prior=None,min_categories=None"
sklearn.naive_bayes.BernoulliNB,Naive Bayes classifier for multivariate Bernoulli models.,https://scikit-learn.org/stable/modules/generated/sklearn.naive_bayes.BernoulliNB.html,"*,alpha=1.0,force_alpha='warn',binarize=0.0,fit_prior=True,class_prior=None"
sklearn.multioutput.RegressorChain,A multi-label model that arranges regressions into a chain.,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.RegressorChain.html,"base_estimator,*,order=None,cv=None,random_state=None,verbose=False"
sklearn.multioutput.MultiOutputClassifier,Multi target classification.,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.MultiOutputClassifier.html,"estimator,*,n_jobs=None"
sklearn.multioutput.MultiOutputRegressor,Multi target regression.,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.MultiOutputRegressor.html,"estimator,*,n_jobs=None"
sklearn.multioutput.ClassifierChain,A multi-label model that arranges binary classifiers into a chain.,https://scikit-learn.org/stable/modules/generated/sklearn.multioutput.ClassifierChain.html,"base_estimator,*,order=None,cv=None,random_state=None,verbose=False"
sklearn.multiclass.OutputCodeClassifier,(Error-Correcting) Output-Code multiclass strategy.,https://scikit-learn.org/stable/modules/generated/sklearn.multiclass.OutputCodeClassifier.html,"estimator,*,code_size=1.5,random_state=None,n_jobs=None"
sklearn.multiclass.OneVsOneClassifier,One-vs-one multiclass strategy.,https://scikit-learn.org/stable/modules/generated/sklearn.multiclass.OneVsOneClassifier.html,"estimator,*,n_jobs=None"
sklearn.multiclass.OneVsRestClassifier,One-vs-the-rest (OvR) multiclass strategy.,https://scikit-learn.org/stable/modules/generated/sklearn.multiclass.OneVsRestClassifier.html,"estimator,*,n_jobs=None,verbose=0"
sklearn.model_selection.LearningCurveDisplay,Learning Curve visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LearningCurveDisplay.html,"*,train_sizes,train_scores,test_scores,score_name=None"
sklearn.model_selection.validation_curve,Validation curve.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.validation_curve.html,"estimator,X,y,*,param_name,param_range,groups=None,cv=None,scoring=None,n_jobs=None,pre_dispatch='all',verbose=0,error_score=nan,fit_params=None"
sklearn.model_selection.permutation_test_score,Evaluate the significance of a cross-validated score with permutations.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.permutation_test_score.html,"estimator,X,y,*,groups=None,cv=None,n_permutations=100,n_jobs=None,random_state=0,verbose=0,scoring=None,fit_params=None"
sklearn.model_selection.learning_curve,Learning curve.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.learning_curve.html,"estimator,X,y,*,groups=None,train_sizes=array([0.1﹐ 0.33﹐ 0.55﹐ 0.78﹐ 1.]),cv=None,scoring=None,exploit_incremental_learning=False,n_jobs=None,pre_dispatch='all',verbose=0,shuffle=False,random_state=None,error_score=nan,return_times=False,fit_params=None"
sklearn.model_selection.cross_val_score,Evaluate a score by cross-validation.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.cross_val_score.html,"estimator,X,y=None,*,groups=None,scoring=None,cv=None,n_jobs=None,verbose=0,fit_params=None,pre_dispatch='2*n_jobs',error_score=nan"
sklearn.model_selection.cross_val_predict,Generate cross-validated estimates for each input data point.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.cross_val_predict.html,"estimator,X,y=None,*,groups=None,cv=None,n_jobs=None,verbose=0,fit_params=None,pre_dispatch='2*n_jobs',method='predict'"
sklearn.model_selection.cross_validate,Evaluate metric(s) by cross-validation and also record fit/score times.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.cross_validate.html,"estimator,X,y=None,*,groups=None,scoring=None,cv=None,n_jobs=None,verbose=0,fit_params=None,pre_dispatch='2*n_jobs',return_train_score=False,return_estimator=False,error_score=nan"
sklearn.model_selection.HalvingRandomSearchCV,Randomized search on hyper parameters.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.HalvingRandomSearchCV.html,"estimator,param_distributions,*,n_candidates='exhaust',factor=3,resource='n_samples',max_resources='auto',min_resources='smallest',aggressive_elimination=False,cv=5,scoring=None,refit=True,error_score=nan,return_train_score=True,random_state=None,n_jobs=None,verbose=0"
sklearn.model_selection.RandomizedSearchCV,Randomized search on hyper parameters.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.RandomizedSearchCV.html,"estimator,param_distributions,*,n_iter=10,scoring=None,n_jobs=None,refit=True,cv=None,verbose=0,pre_dispatch='2*n_jobs',random_state=None,error_score=nan,return_train_score=False"
sklearn.model_selection.ParameterSampler,Generator on parameters sampled from given distributions.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.ParameterSampler.html,"param_distributions,n_iter,*,random_state=None"
sklearn.model_selection.ParameterGrid,Grid of parameters with a discrete number of values for each.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.ParameterGrid.html,param_grid
sklearn.model_selection.HalvingGridSearchCV,Search over specified parameter values with successive halving.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.HalvingGridSearchCV.html,"estimator,param_grid,*,factor=3,resource='n_samples',max_resources='auto',min_resources='exhaust',aggressive_elimination=False,cv=5,scoring=None,refit=True,error_score=nan,return_train_score=True,random_state=None,n_jobs=None,verbose=0"
sklearn.model_selection.GridSearchCV,Exhaustive search over specified parameter values for an estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.GridSearchCV.html,"estimator,param_grid,*,scoring=None,n_jobs=None,refit=True,cv=None,verbose=0,pre_dispatch='2*n_jobs',error_score=nan,return_train_score=False"
sklearn.model_selection.train_test_split,Split arrays or matrices into random train and test subsets.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.train_test_split.html,"*arrays,test_size=None,train_size=None,random_state=None,shuffle=True,stratify=None"
sklearn.model_selection.check_cv,Input checker utility for building a cross-validator.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.check_cv.html,"cv=5,y=None,*,classifier=False"
sklearn.model_selection.TimeSeriesSplit,Time Series cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.TimeSeriesSplit.html,"n_splits=5,*,max_train_size=None,test_size=None,gap=0"
sklearn.model_selection.StratifiedGroupKFold,Stratified K-Folds iterator variant with non-overlapping groups.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.StratifiedGroupKFold.html,"n_splits=5,shuffle=False,random_state=None"
sklearn.model_selection.StratifiedShuffleSplit,Stratified ShuffleSplit cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.StratifiedShuffleSplit.html,"n_splits=10,*,test_size=None,train_size=None,random_state=None"
sklearn.model_selection.StratifiedKFold,Stratified K-Folds cross-validator.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.StratifiedKFold.html,"n_splits=5,*,shuffle=False,random_state=None"
sklearn.model_selection.ShuffleSplit,Random permutation cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.ShuffleSplit.html,"n_splits=10,*,test_size=None,train_size=None,random_state=None"
sklearn.model_selection.RepeatedStratifiedKFold,Repeated Stratified K-Fold cross validator.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.RepeatedStratifiedKFold.html,"*,n_splits=5,n_repeats=10,random_state=None"
sklearn.model_selection.RepeatedKFold,Repeated K-Fold cross validator.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.RepeatedKFold.html,"*,n_splits=5,n_repeats=10,random_state=None"
sklearn.model_selection.PredefinedSplit,Predefined split cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.PredefinedSplit.html,test_fold
sklearn.model_selection.LeavePOut,Leave-P-Out cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LeavePOut.html,p
sklearn.model_selection.LeaveOneOut,Leave-One-Out cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LeaveOneOut.html,
sklearn.model_selection.LeavePGroupsOut,Leave P Group(s) Out cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LeavePGroupsOut.html,n_groups
sklearn.model_selection.LeaveOneGroupOut,Leave One Group Out cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.LeaveOneGroupOut.html,
sklearn.model_selection.KFold,K-Folds cross-validator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.KFold.html,"n_splits=5,*,shuffle=False,random_state=None"
sklearn.model_selection.GroupShuffleSplit,Shuffle-Group(s)-Out cross-validation iterator,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.GroupShuffleSplit.html,"n_splits=5,*,test_size=None,train_size=None,random_state=None"
sklearn.model_selection.GroupKFold,K-fold iterator variant with non-overlapping groups.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.GroupKFold.html,n_splits=5
sklearn.mixture.GaussianMixture,Gaussian Mixture.,https://scikit-learn.org/stable/modules/generated/sklearn.mixture.GaussianMixture.html,"n_components=1,*,covariance_type='full',tol=0.001,reg_covar=1e-06,max_iter=100,n_init=1,init_params='kmeans',weights_init=None,means_init=None,precisions_init=None,random_state=None,warm_start=False,verbose=0,verbose_interval=10"
sklearn.mixture.BayesianGaussianMixture,Variational Bayesian estimation of a Gaussian mixture.,https://scikit-learn.org/stable/modules/generated/sklearn.mixture.BayesianGaussianMixture.html,"*,n_components=1,covariance_type='full',tol=0.001,reg_covar=1e-06,max_iter=100,n_init=1,init_params='kmeans',weight_concentration_prior_type='dirichlet_process',weight_concentration_prior=None,mean_precision_prior=None,mean_prior=None,degrees_of_freedom_prior=None,covariance_prior=None,random_state=None,warm_start=False,verbose=0,verbose_interval=10"
sklearn.calibration.CalibrationDisplay,Calibration curve (also known as reliability diagram) visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibrationDisplay.html,"prob_true,prob_pred,y_prob,*,estimator_name=None,pos_label=None"
sklearn.metrics.RocCurveDisplay,ROC Curve visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.RocCurveDisplay.html,"*,fpr,tpr,roc_auc=None,estimator_name=None,pos_label=None"
sklearn.metrics.PredictionErrorDisplay,Visualization of the prediction error of a regression model.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.PredictionErrorDisplay.html,"*,y_true,y_pred"
sklearn.metrics.PrecisionRecallDisplay,Precision Recall visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.PrecisionRecallDisplay.html,"precision,recall,*,average_precision=None,estimator_name=None,pos_label=None"
sklearn.metrics.DetCurveDisplay,DET curve visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.DetCurveDisplay.html,"*,fpr,fnr,estimator_name=None,pos_label=None"
sklearn.metrics.ConfusionMatrixDisplay,Confusion Matrix visualization.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.ConfusionMatrixDisplay.html,"confusion_matrix,*,display_labels=None"
sklearn.metrics.pairwise_distances_chunked,Generate a distance matrix chunk by chunk with optional reduction.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise_distances_chunked.html,"X,Y=None,*,reduce_func=None,metric='euclidean',n_jobs=None,working_memory=None,**kwds"
sklearn.metrics.pairwise_distances_argmin_min,Compute minimum distances between one point and a set of points.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise_distances_argmin_min.html,"X,Y,*,axis=1,metric='euclidean',metric_kwargs=None"
sklearn.metrics.pairwise_distances_argmin,Compute minimum distances between one point and a set of points.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise_distances_argmin.html,"X,Y,*,axis=1,metric='euclidean',metric_kwargs=None"
sklearn.metrics.pairwise_distances,Compute the distance matrix from a vector array X and optional Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise_distances.html,"X,Y=None,metric='euclidean',*,n_jobs=None,force_all_finite=True,**kwds"
sklearn.metrics.pairwise.paired_distances,Compute the paired distances between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.paired_distances.html,"X,Y,*,metric='euclidean',**kwds"
sklearn.metrics.pairwise.paired_cosine_distances,Compute the paired cosine distances between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.paired_cosine_distances.html,"X,Y"
sklearn.metrics.pairwise.paired_manhattan_distances,Compute the paired L1 distances between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.paired_manhattan_distances.html,"X,Y"
sklearn.metrics.pairwise.paired_euclidean_distances,Compute the paired euclidean distances between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.paired_euclidean_distances.html,"X,Y"
sklearn.metrics.pairwise.sigmoid_kernel,Compute the sigmoid kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.sigmoid_kernel.html,"X,Y=None,gamma=None,coef0=1"
sklearn.metrics.pairwise.rbf_kernel,Compute the rbf (gaussian) kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.rbf_kernel.html,"X,Y=None,gamma=None"
sklearn.metrics.pairwise.polynomial_kernel,Compute the polynomial kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.polynomial_kernel.html,"X,Y=None,degree=3,gamma=None,coef0=1"
sklearn.metrics.pairwise.pairwise_kernels,Compute the kernel between arrays X and optional array Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.pairwise_kernels.html,"X,Y=None,metric='linear',*,filter_params=False,n_jobs=None,**kwds"
sklearn.metrics.pairwise.nan_euclidean_distances,Calculate the euclidean distances in the presence of missing values.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.nan_euclidean_distances.html,"X,Y=None,*,squared=False,missing_values=nan,copy=True"
sklearn.metrics.pairwise.manhattan_distances,Compute the L1 distances between the vectors in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.manhattan_distances.html,"X,Y=None,*,sum_over_features='deprecated'"
sklearn.metrics.pairwise.linear_kernel,Compute the linear kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.linear_kernel.html,"X,Y=None,dense_output=True"
sklearn.metrics.pairwise.laplacian_kernel,Compute the laplacian kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.laplacian_kernel.html,"X,Y=None,gamma=None"
sklearn.metrics.pairwise.kernel_metrics,Valid metrics for pairwise_kernels.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.kernel_metrics.html,
sklearn.metrics.pairwise.haversine_distances,Compute the Haversine distance between samples in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.haversine_distances.html,"X,Y=None"
sklearn.metrics.pairwise.euclidean_distances,Compute the distance matrix between each pair from a vector array X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.euclidean_distances.html,"X,Y=None,*,Y_norm_squared=None,squared=False,X_norm_squared=None"
sklearn.metrics.pairwise.distance_metrics,Valid metrics for pairwise_distances.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.distance_metrics.html,
sklearn.metrics.pairwise.cosine_distances,Compute cosine distance between samples in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.cosine_distances.html,"X,Y=None"
sklearn.metrics.pairwise.cosine_similarity,Compute cosine similarity between samples in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.cosine_similarity.html,"X,Y=None,dense_output=True"
sklearn.metrics.pairwise.chi2_kernel,Compute the exponential chi-squared kernel between X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.chi2_kernel.html,"X,Y=None,gamma=1.0"
sklearn.metrics.pairwise.additive_chi2_kernel,Compute the additive chi-squared kernel between observations in X and Y.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.pairwise.additive_chi2_kernel.html,"X,Y=None"
sklearn.metrics.DistanceMetric,DistanceMetric class,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.DistanceMetric.html,
sklearn.metrics.consensus_score,The similarity of two sets of biclusters.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.consensus_score.html,"a,b,*,similarity='jaccard'"
sklearn.metrics.v_measure_score,V-measure cluster labeling given a ground truth.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.v_measure_score.html,"labels_true,labels_pred,*,beta=1.0"
sklearn.metrics.silhouette_samples,Compute the Silhouette Coefficient for each sample.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.silhouette_samples.html,"X,labels,*,metric='euclidean',**kwds"
sklearn.metrics.silhouette_score,Compute the mean Silhouette Coefficient of all samples.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.silhouette_score.html,"X,labels,*,metric='euclidean',sample_size=None,random_state=None,**kwds"
sklearn.metrics.rand_score,Rand index.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.rand_score.html,"labels_true,labels_pred"
sklearn.metrics.normalized_mutual_info_score,Normalized Mutual Information between two clusterings.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.normalized_mutual_info_score.html,"labels_true,labels_pred,*,average_method='arithmetic'"
sklearn.metrics.mutual_info_score,Mutual Information between two clusterings.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mutual_info_score.html,"labels_true,labels_pred,*,contingency=None"
sklearn.metrics.homogeneity_score,Homogeneity metric of a cluster labeling given a ground truth.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.homogeneity_score.html,"labels_true,labels_pred"
sklearn.metrics.homogeneity_completeness_v_measure,Compute the homogeneity and completeness and V-Measure scores at once.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.homogeneity_completeness_v_measure.html,"labels_true,labels_pred,*,beta=1.0"
sklearn.metrics.fowlkes_mallows_score,Measure the similarity of two clusterings of a set of points.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.fowlkes_mallows_score.html,"labels_true,labels_pred,*,sparse=False"
sklearn.metrics.cluster.pair_confusion_matrix,Pair confusion matrix arising from two clusterings [1].,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.cluster.pair_confusion_matrix.html,"labels_true,labels_pred"
sklearn.metrics.cluster.contingency_matrix,Build a contingency matrix describing the relationship between labels.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.cluster.contingency_matrix.html,"labels_true,labels_pred,*,eps=None,sparse=False,dtype=<class 'numpy.int64'>"
sklearn.metrics.completeness_score,Compute completeness metric of a cluster labeling given a ground truth.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.completeness_score.html,"labels_true,labels_pred"
sklearn.metrics.davies_bouldin_score,Compute the Davies-Bouldin score.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.davies_bouldin_score.html,"X,labels"
sklearn.metrics.calinski_harabasz_score,Compute the Calinski and Harabasz score.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.calinski_harabasz_score.html,"X,labels"
sklearn.metrics.adjusted_rand_score,Rand index adjusted for chance.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.adjusted_rand_score.html,"labels_true,labels_pred"
sklearn.metrics.adjusted_mutual_info_score,Adjusted Mutual Information between two clusterings.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.adjusted_mutual_info_score.html,"labels_true,labels_pred,*,average_method='arithmetic'"
sklearn.metrics.label_ranking_loss,Compute Ranking loss measure.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.label_ranking_loss.html,"y_true,y_score,*,sample_weight=None"
sklearn.metrics.label_ranking_average_precision_score,Compute ranking-based average precision.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.label_ranking_average_precision_score.html,"y_true,y_score,*,sample_weight=None"
sklearn.metrics.coverage_error,Coverage error measure.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.coverage_error.html,"y_true,y_score,*,sample_weight=None"
sklearn.metrics.d2_absolute_error_score,"\\(D^2\\) regression score function,     fraction of absolute error explained.",https://scikit-learn.org/stable/modules/generated/sklearn.metrics.d2_absolute_error_score.html,"y_true,y_pred,*,sample_weight=None,multioutput='uniform_average'"
sklearn.metrics.d2_pinball_score,"\\(D^2\\) regression score function, fraction of pinball loss explained.",https://scikit-learn.org/stable/modules/generated/sklearn.metrics.d2_pinball_score.html,"y_true,y_pred,*,sample_weight=None,alpha=0.5,multioutput='uniform_average'"
sklearn.metrics.mean_pinball_loss,Pinball loss for quantile regression.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mean_pinball_loss.html,"y_true,y_pred,*,sample_weight=None,alpha=0.5,multioutput='uniform_average'"
sklearn.metrics.d2_tweedie_score,"D^2 regression score function, fraction of Tweedie deviance explained.",https://scikit-learn.org/stable/modules/generated/sklearn.metrics.d2_tweedie_score.html,"y_true,y_pred,*,sample_weight=None,power=0"
sklearn.metrics.mean_tweedie_deviance,Mean Tweedie deviance regression loss.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mean_tweedie_deviance.html,"y_true,y_pred,*,sample_weight=None,power=0"
sklearn.metrics.mean_gamma_deviance,Mean Gamma deviance regression loss.,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mean_gamma_deviance.html,"y_true,y_pred,*,sample_weight=None"
